Samples,Total_Peaks
EC_F42.corems,3306
EC_F43.corems,2239
EC_F44.corems,2385
EC_F45.corems,2848
EC_F46.corems,4757
EC_F47.corems,2119
EC_F48.corems,4233
EC_F49.corems,2235
EC_F5.corems,4787
EC_F50.corems,3924
EC_F51.corems,3570
EC_F52.corems,1511
EC_F53.corems,3447
EC_F54.corems,1951
EC_F55.corems,2526
EC_F56.corems,3129
EC_F57.corems,1333
EC_F58.corems,2708
EC_F59.corems,2623
EC_F6.corems,4205
EC_F60.corems,2795
EC_F61.corems,4372
EC_F62.corems,2984
EC_F63.corems,2223
EC_F64.corems,1900
EC_F65.corems,2666
EC_F66.corems,2017
EC_F67.corems,5500
EC_F68.corems,3634
EC_F69.corems,2666
EC_F7.corems,2966
EC_F70.corems,3622
EC_F71.corems,669
EC_F8.corems,1725
EC_F9.corems,903
EC_G1.corems,2687
EC_G10.corems,1095
EC_G11.corems,2558
EC_G12.corems,1873
EC_G13.corems,1629
EC_G14.corems,4024
EC_G15.corems,1340
EC_G16.corems,2860
EC_G17.corems,2864
EC_G18.corems,3486
EC_G19.corems,2314
EC_G2.corems,3463
EC_G20.corems,2480
EC_G21.corems,4980
EC_G22.corems,3697
EC_G23.corems,4441
EC_G24.corems,4459
EC_G25.corems,1155
EC_G26.corems,3842
EC_G27.corems,2446
EC_G28.corems,1201
EC_G29.corems,3792
EC_G3.corems,2146
EC_G30.corems,3361
EC_G31.corems,4465
EC_G32.corems,2962
EC_G33.corems,2694
EC_G34.corems,1163
EC_G35.corems,3243
EC_G36.corems,4761
EC_G37.corems,1471
EC_G38.corems,1528
EC_G39.corems,3076
EC_G4.corems,2342
EC_G40.corems,4055
EC_G41.corems,3359
EC_G42.corems,1664
EC_G43.corems,1407
EC_G44.corems,2245
EC_G45.corems,2519
EC_G46.corems,3615
EC_G47.corems,2235
EC_G48.corems,3845
EC_G49.corems,2269
EC_G5.corems,1587
EC_G50.corems,1685
EC_G51.corems,3285
EC_G52.corems,4110
EC_G53.corems,2735
EC_G54.corems,2502
EC_G55.corems,4149
EC_G56.corems,3955
EC_G57.corems,2636
EC_G58.corems,3909
EC_G59.corems,2256
EC_G6.corems,3225
EC_G60.corems,3279
EC_G61.corems,2066
EC_G62.corems,3640
EC_G63.corems,3028
EC_G64.corems,3040
EC_G65.corems,2795
EC_G66.corems,2466
EC_G67.corems,2339
EC_G68.corems,2463
EC_G69.corems,2194
EC_G7.corems,2907
EC_G70.corems,2910
EC_G71.corems,556
EC_G8.corems,901
EC_G9.corems,1818
EC_H1.corems,1856
EC_H10.corems,2139
EC_H11.corems,2324
EC_H12.corems,1715
EC_H13.corems,3404
EC_H14.corems,2250
EC_H15.corems,990
EC_H16.corems,2833
EC_H17.corems,1520
EC_H18.corems,2248
EC_H19.corems,807
EC_H2.corems,2395
EC_H20.corems,1649
EC_H21.corems,4228
EC_H22.corems,2183
EC_H23.corems,3108
EC_H24.corems,3440
EC_H25.corems,3698
EC_H26.corems,3275
EC_H27.corems,3815
EC_H28.corems,2692
EC_H29.corems,882
EC_H3.corems,3845
EC_H30.corems,1501
EC_H31.corems,4691
EC_H32.corems,4027
EC_H33.corems,5478
EC_H34.corems,2524
EC_H35.corems,3510
EC_H36.corems,1726
EC_H37.corems,3166
EC_H38.corems,2903
EC_H39.corems,3858
EC_H4.corems,3634
EC_H40.corems,1515
EC_H41.corems,3641
EC_H42.corems,2972
EC_H43.corems,1301
EC_H44.corems,2353
EC_H45.corems,2207
EC_H46.corems,3127
EC_H47.corems,1140
EC_H48.corems,2833
EC_H49.corems,3065
EC_H5.corems,1745
EC_H50.corems,2517
EC_H51.corems,2358
EC_H52.corems,2415
EC_H53.corems,4751
EC_H54.corems,2769
EC_H55.corems,2531
EC_H56.corems,1651
EC_H57.corems,3634
EC_H58.corems,2193
EC_H59.corems,929
EC_H6.corems,1990
EC_H60.corems,2858
EC_H61.corems,2893
EC_H62.corems,2661
EC_H63.corems,2156
EC_H64.corems,2237
EC_H65.corems,3483
EC_H66.corems,3937
EC_H67.corems,1876
EC_H68.corems,2416
EC_H69.corems,2644
EC_H7.corems,3239
EC_H70.corems,3504
EC_H71.corems,3098
EC_H8.corems,1107
EC_H9.corems,1989
