"Samples","Treatment","Number_of_reps","Median_AI_mod","Median_NOSC","Median_DBE","Median_Gibbs","Median_Gibbs_Compound","Median_Lambda"
"EC_042_SIR-D","Dry",5,0.35,-0.4,13,-144.87049789452,-3580.38426275802,0.0351863001387111
"EC_044_SIR-D","Dry",5,0.305235137533274,-0.4,11,-144.859260707981,-3428.98422637592,0.0368085260557743
"EC_051_SIR-D","Dry",5,0.352941176470588,-0.296296296296297,13,-143.83258567334,-3635.36116624458,0.0353700692828258
"EC_052_SIR-D","Dry",5,0.344006147540983,-0.375,13,-144.694780905347,-3664.13038302069,0.0346679374593992
"EC_053_SIR-D","Dry",5,0.317073170731707,-0.416666666666667,12,-144.846618873126,-3571.22273269236,0.034943732691956
"EC_056_SIR-D","Dry",5,0.333333333333333,-0.444444444444445,13,-145.384335174465,-3749.8995997968,0.033391945909792
"EC_057_SIR-D","Dry",5,0.315789473684211,-0.428571428571429,12,-145.0563273698,-3654.96885295503,0.0343757184551585
"EC_063_SIR-D","Dry",5,0.333333333333333,-0.357142857142857,12,-144.441522789246,-3614.26881657292,0.0354911072695274
"EC_064_SIR-D","Dry",5,0.285714285714286,-0.466666666666667,11,-145.497555384124,-3452.63810611325,0.0359122201925153
"EC_065_SIR-D","Dry",5,0.291666666666667,-0.468085106382978,11,-145.586456900867,-3689.06116624458,0.0335117561415334
"EC_066_SIR-D","Dry",5,0.333333333333333,-0.275862068965517,13,-143.900683908269,-3525.93806973114,0.0361425351367149
"EC_068_SIR-D","Dry",5,0.333333333333333,-0.37037037037037,12,-144.707677614918,-3557.47657604758,0.0359468379153267
"EC_069_SIR-D","Dry",5,0.304347826086957,-0.5,12,-146.095176477977,-3649.10732288936,0.033932040211607
"EC_070_SIR-D","Dry",4,0.333333333333333,-0.342857142857143,12,-144.148184659422,-3480.86888933713,0.0369623275051409
"EC_071_SIR-D","Dry",5,0.309717868338558,-0.482758620689655,12,-145.595589402977,-3558.75347953414,0.0349071504691225
"EC_072_SIR-D","Dry",4,0.3,-0.461538461538462,11,-145.660483454611,-3465.09963617891,0.0361746348375329
"EC_073_SIR-D","Dry",5,0.322033898305085,-0.357142857142857,12,-144.378006785493,-3568.45344315203,0.035833309800703
"EC_074_SIR-D","Dry",5,0.302325581395349,-0.428571428571429,12,-145.185783962334,-3605.21116624459,0.0348071663619951
"EC_075_SIR-D","Dry",5,0.363636363636364,-0.235294117647059,14,-143.251025460386,-3672.0150095998,0.0359114905008922
"EC_076_SIR-D","Dry",5,0.291666666666667,-0.5,11,-145.862086966777,-3470.96116624458,0.0352315738610618
"EC_078_SIR-D","Dry",5,0.241379310344828,-0.571428571428571,10,-146.565215320828,-3408.63806973114,0.0353041076829979
"EC_080_SIR-D","Dry",5,0.315789473684211,-0.4,11,-144.705259452785,-3448.79967256102,0.0364111442692325
"EC_081_SIR-D","Dry",5,0.282051282051282,-0.545454545454546,11,-146.376377132262,-3723.69191308636,0.0325926685113908
"EC_082_SIR-D","Dry",5,0.307692307692308,-0.432432432432432,12,-145.196138453723,-3656.24575644158,0.0342890556173638
"EC_084_SIR-D","Dry",5,0.263157894736842,-0.583333333333333,10,-146.565215320828,-3601.26885295503,0.0330203041894197
"EC_085_SIR-D","Dry",5,0.244444444444444,-0.571428571428571,10,-146.588562144903,-3717.83038302069,0.0325569454060652
"EC_088_SIR-D","Dry",5,0.358490566037736,-0.333333333333333,12,-144.16966893555,-3293.56120262669,0.0386360528250762
