Sample_Name,Date,Wet_Sediment_Mass_g,Wet_Sediment_Mass_Added_Water_g,Dry_Sediment_Mass_g,Added_Water_Mass_g,Total_Water_Mass_g,Moisture
EC_017_INC-W1,11/29/2022,23.62,24.39,15.89,0.77,8.5,53.49276274
EC_017_INC-W1,12/2/2022,23.97,24.39,15.89,0.42,8.5,53.49276274
EC_017_INC-W1,12/6/2022,23.72,24.39,15.89,0.67,8.5,53.49276274
EC_018_INC-W1,6/16/2022,19.96,22.95,13.35,2.99,9.6,71.91011236
EC_018_INC-W1,6/17/2022,22.89,22.95,13.35,0.06,9.6,71.91011236
EC_018_INC-W1,6/21/2022,22.59,22.94,13.35,0.35,9.59,71.83520599
EC_018_INC-W1,6/24/2022,22.64,22.95,13.35,0.31,9.6,71.91011236
EC_018_INC-W1,6/28/2022,22.55,22.95,13.35,0.4,9.6,71.91011236
EC_018_INC-W1,7/1/2022,22.62,22.95,13.35,0.33,9.6,71.91011236
EC_021_INC-W1,9/8/2022,20.04,28.56,15.91,8.52,12.65,79.5097423
EC_021_INC-W1,9/9/2022,28.44,28.56,15.91,0.12,12.65,79.5097423
EC_021_INC-W1,9/13/2022,28.15,28.55,15.91,0.4,12.64,79.44688875
EC_021_INC-W1,9/16/2022,28.25,28.56,15.91,0.31,12.65,79.5097423
EC_021_INC-W1,9/20/2022,28.05,28.56,15.91,0.51,12.65,79.5097423
EC_021_INC-W1,9/23/2022,27.62,28.56,15.91,0.94,12.65,79.5097423
EC_022_INC-W1,9/15/2022,19.96,23.95,15.61,3.99,8.34,53.4272902
EC_022_INC-W1,9/16/2022,23.84,23.95,15.61,0.11,8.34,53.4272902
EC_022_INC-W1,9/20/2022,23.55,23.94,15.61,0.39,8.33,53.3632287
EC_022_INC-W1,9/23/2022,23.57,23.95,15.61,0.38,8.34,53.4272902
EC_022_INC-W1,9/30/2022,23.38,23.95,15.61,0.57,8.34,53.4272902
EC_022_INC-W1,10/4/2022,23.51,23.94,15.61,0.43,8.33,53.3632287
EC_024_INC-W1,8/2/2022,20.01,23.02,17.16,3.01,5.86,34.14918415
EC_024_INC-W1,8/5/2022,22.89,23.03,17.16,0.14,5.87,34.20745921
EC_024_INC-W1,8/9/2022,22.64,23.02,17.16,0.38,5.86,34.14918415
EC_024_INC-W1,8/12/2022,22.77,23.01,17.16,0.24,5.85,34.09090909
EC_024_INC-W1,8/16/2022,22.74,23.02,17.16,0.28,5.86,34.14918415
EC_024_INC-W1,8/19/2022,22.79,23.02,17.16,0.23,5.86,34.14918415
EC_027_INC-W1,7/14/2022,19.99,22.73,10.01,2.74,12.72,127.0729271
EC_027_INC-W1,7/19/2022,21.95,22.72,10.01,0.77,12.71,126.973027
EC_027_INC-W1,7/22/2022,22.37,22.73,10.01,0.36,12.72,127.0729271
EC_027_INC-W1,7/26/2022,22.4,22.73,10.01,0.33,12.72,127.0729271
EC_027_INC-W1,7/29/2022,22.43,22.73,10.01,0.3,12.72,127.0729271
EC_027_INC-W1,8/2/2022,22.23,22.73,10.01,0.5,12.72,127.0729271
EC_032_INC-W1,10/6/2022,20,24.01,9.79,4.01,14.22,145.2502554
EC_032_INC-W1,10/10/2022,22.86,24,9.79,1.14,14.21,145.1481103
EC_032_INC-W1,10/14/2022,23.23,24.01,9.79,0.78,14.22,145.2502554
EC_032_INC-W1,10/21/2022,22.69,24.01,9.79,1.32,14.22,145.2502554
EC_032_INC-W1,10/25/2022,22.74,23.99,9.79,1.25,14.2,145.0459653
EC_033_INC-W1,9/8/2022,19.93,25.09,15.89,5.16,9.2,57.89804909
EC_033_INC-W1,9/9/2022,24.92,25.09,15.89,0.17,9.2,57.89804909
EC_033_INC-W1,9/13/2022,24.73,25.08,15.89,0.35,9.19,57.83511643
EC_033_INC-W1,9/16/2022,24.78,25.1,15.89,0.32,9.21,57.96098175
EC_033_INC-W1,9/20/2022,24.67,25.1,15.89,0.43,9.21,57.96098175
EC_033_INC-W1,9/23/2022,24.74,25.09,15.89,0.35,9.2,57.89804909
EC_034_INC-W1,9/1/2022,20.1,23.11,14.84,3.01,8.27,55.7277628
EC_034_INC-W1,9/2/2022,22.97,23.11,14.84,0.14,8.27,55.7277628
EC_034_INC-W1,9/6/2022,22.74,23.1,14.84,0.36,8.26,55.66037736
EC_034_INC-W1,9/9/2022,22.76,23.11,14.84,0.35,8.27,55.7277628
EC_034_INC-W1,9/13/2022,22.66,23.11,14.84,0.45,8.27,55.7277628
EC_034_INC-W1,9/16/2022,22.79,23.12,14.84,0.33,8.28,55.79514825
EC_034_INC-W1,9/20/2022,22.62,23.11,14.84,0.49,8.27,55.7277628
EC_035_INC-W1,10/20/2022,20.06,23.04,7.61,2.98,15.43,202.7595269
EC_035_INC-W1,10/21/2022,22.92,23.04,7.61,0.12,15.43,202.7595269
EC_035_INC-W1,10/25/2022,22.51,23.03,7.61,0.52,15.42,202.6281209
EC_035_INC-W1,10/31/2022,22.35,23.04,7.61,0.69,15.43,202.7595269
EC_035_INC-W1,11/4/2022,22.56,22.83,7.61,0.27,15.22,200
EC_035_INC-W1,11/8/2022,22.3,23.04,7.61,0.74,15.43,202.7595269
EC_037_INC-W1,11/3/2022,20.13,25.01,17.39,4.88,7.62,43.81828637
EC_037_INC-W1,11/4/2022,24.88,25,17.39,0.12,7.61,43.76078206
EC_037_INC-W1,11/8/2022,24.59,25.01,17.39,0.42,7.62,43.81828637
EC_037_INC-W1,11/11/2022,24.6,25.01,17.39,0.41,7.62,43.81828637
EC_037_INC-W1,11/15/2022,24.35,25.01,17.39,0.66,7.62,43.81828637
EC_037_INC-W1,11/18/2022,24.55,25.01,17.39,0.46,7.62,43.81828637
EC_038_INC-W1,11/3/2022,20.17,25.21,16.36,5.04,8.85,54.09535452
EC_038_INC-W1,11/4/2022,25.07,25.2,16.36,0.13,8.84,54.03422983
EC_038_INC-W1,11/8/2022,24.79,25.21,16.36,0.42,8.85,54.09535452
EC_038_INC-W1,11/11/2022,24.83,25.21,16.36,0.38,8.85,54.09535452
EC_038_INC-W1,11/15/2022,24.62,25.21,16.36,0.59,8.85,54.09535452
EC_038_INC-W1,11/18/2022,24.8,25.21,16.36,0.41,8.85,54.09535452
EC_039_INC-W1,10/27/2022,20.24,22.22,15.61,1.98,6.61,42.34465086
EC_039_INC-W1,10/31/2022,21.86,22.22,15.61,0.36,6.61,42.34465086
EC_039_INC-W1,11/4/2022,21.83,22.2,15.61,0.37,6.59,42.21652787
EC_039_INC-W1,11/8/2022,21.8,22.22,15.61,0.42,6.61,42.34465086
EC_039_INC-W1,11/11/2022,21.84,22.22,15.61,0.38,6.61,42.34465086
EC_039_INC-W1,11/15/2022,21.64,22.22,15.61,0.58,6.61,42.34465086
EC_040_INC-W1,10/20/2022,20.07,22.85,13.73,2.78,9.12,66.42388929
EC_040_INC-W1,10/21/2022,22.6,22.85,13.73,0.25,9.12,66.42388929
EC_040_INC-W1,10/25/2022,21.63,22.84,13.73,1.21,9.11,66.35105608
EC_040_INC-W1,10/31/2022,21.04,22.88,13.73,1.84,9.15,66.64238893
EC_040_INC-W1,11/4/2022,21.27,22.84,13.73,1.57,9.11,66.35105608
EC_040_INC-W1,11/8/2022,21.41,22.85,13.73,1.44,9.12,66.42388929
EC_041_INC-W1,10/13/2022,20.06,23.54,13.78,3.48,9.76,70.82728592
EC_041_INC-W1,10/14/2022,23.46,23.54,13.78,0.08,9.76,70.82728592
EC_041_INC-W1,10/21/2022,22.93,23.54,13.78,0.61,9.76,70.82728592
EC_041_INC-W1,10/25/2022,23.08,23.54,13.78,0.46,9.76,70.82728592
EC_041_INC-W1,10/31/2022,22.94,23.54,13.78,0.6,9.76,70.82728592
EC_042_INC-W1,10/13/2022,20.02,22.99,14.57,2.97,8.42,57.78997941
EC_042_INC-W1,10/14/2022,22.88,23,14.57,0.12,8.43,57.85861359
EC_042_INC-W1,10/21/2022,22.4,22.99,14.57,0.59,8.42,57.78997941
EC_042_INC-W1,10/25/2022,22.54,22.98,14.57,0.44,8.41,57.72134523
EC_042_INC-W1,10/31/2022,22.34,22.99,14.57,0.65,8.42,57.78997941
EC_044_INC-W1,12/8/2022,20.07,23.59,16.52,3.52,7.07,42.79661017
EC_044_INC-W1,12/13/2022,23.07,23.59,16.52,0.52,7.07,42.79661017
EC_044_INC-W1,12/16/2022,23.27,23.59,16.52,0.32,7.07,42.79661017
EC_044_INC-W1,12/20/2022,22.98,23.59,16.52,0.61,7.07,42.79661017
EC_044_INC-W1,12/22/2022,23.32,23.59,16.52,0.27,7.07,42.79661017
EC_044_INC-W1,12/27/2022,22.86,23.59,16.52,0.73,7.07,42.79661017
EC_051_INC-W1,1/26/2023,20.04,24.09,14.74,4.05,9.35,63.43283582
EC_051_INC-W1,1/27/2023,23.93,24.09,14.74,0.16,9.35,63.43283582
EC_051_INC-W1,1/31/2023,23.65,24.09,14.74,0.44,9.35,63.43283582
EC_051_INC-W1,2/3/2023,23.79,24.09,14.74,0.3,9.35,63.43283582
EC_051_INC-W1,2/7/2023,23.59,24.09,14.74,0.5,9.35,63.43283582
EC_051_INC-W1,2/10/2023,23.76,24.09,14.74,0.33,9.35,63.43283582
EC_052_INC-W1,3/23/2023,20.01,23.02,12.31,3.01,10.71,87.00243704
EC_052_INC-W1,3/24/2023,22.9,23.01,12.31,0.11,10.7,86.92120227
EC_052_INC-W1,3/28/2023,22.59,23.02,12.31,0.43,10.71,87.00243704
EC_052_INC-W1,3/31/2023,22.72,23.02,12.31,0.3,10.71,87.00243704
EC_052_INC-W1,4/4/2023,22.51,23.02,12.31,0.51,10.71,87.00243704
EC_052_INC-W1,4/7/2023,22.72,23.02,12.31,0.3,10.71,87.00243704
EC_052_INC-W1,4/11/2023,22.52,23.02,12.31,0.5,10.71,87.00243704
EC_053_INC-W1,5/18/2023,20.03,23.03,13.84,3,9.19,66.4017341
EC_053_INC-W1,5/19/2023,22.95,23.03,13.84,0.08,9.19,66.4017341
EC_053_INC-W1,5/23/2023,22.6,23.03,13.84,0.43,9.19,66.4017341
EC_053_INC-W1,5/27/2023,22.59,23.03,13.84,0.44,9.19,66.4017341
EC_053_INC-W1,5/30/2023,22.67,23.03,13.84,0.36,9.19,66.4017341
EC_053_INC-W1,6/2/2023,22.63,23.02,13.84,0.39,9.18,66.32947977
EC_053_INC-W1,6/6/2023,22.5,23.02,13.84,0.52,9.18,66.32947977
EC_056_INC-W1,12/8/2022,19.91,23.95,17.03,4.04,6.92,40.63417499
EC_056_INC-W1,12/13/2022,23.34,23.95,17.03,0.61,6.92,40.63417499
EC_056_INC-W1,12/16/2022,23.62,23.95,17.03,0.33,6.92,40.63417499
EC_056_INC-W1,12/20/2022,23.33,23.95,17.03,0.62,6.92,40.63417499
EC_056_INC-W1,12/22/2022,23.68,23.95,17.03,0.27,6.92,40.63417499
EC_056_INC-W1,12/27/2022,23.26,23.95,17.03,0.69,6.92,40.63417499
EC_057_INC-W1,2/9/2023,20.08,25.69,17.14,5.61,8.55,49.88331389
EC_057_INC-W1,2/10/2023,25.58,25.68,17.14,0.1,8.54,49.82497083
EC_057_INC-W1,2/17/2023,24.74,25.69,17.14,0.95,8.55,49.88331389
EC_057_INC-W1,2/21/2023,25.32,25.69,17.14,0.37,8.55,49.88331389
EC_057_INC-W1,2/24/2023,25.39,25.69,17.14,0.3,8.55,49.88331389
EC_057_INC-W1,2/28/2023,25.1,25.69,17.14,0.59,8.55,49.88331389
EC_063_INC-W1,11/17/2022,19.91,24.46,16.55,4.55,7.91,47.79456193
EC_063_INC-W1,11/18/2022,24.3,24.46,16.55,0.16,7.91,47.79456193
EC_063_INC-W1,11/23/2022,23.94,24.46,16.55,0.52,7.91,47.79456193
EC_063_INC-W1,11/29/2022,23.76,24.46,16.55,0.7,7.91,47.79456193
EC_063_INC-W1,12/2/2022,24.05,24.46,16.55,0.41,7.91,47.79456193
EC_063_INC-W1,12/6/2022,23.87,24.46,16.55,0.59,7.91,47.79456193
EC_064_INC-W1,12/15/2022,20.03,23.03,9.01,3,14.02,155.6048835
EC_064_INC-W1,12/16/2022,22.89,23.03,9.01,0.14,14.02,155.6048835
EC_064_INC-W1,12/20/2022,22.58,23.03,9.01,0.45,14.02,155.6048835
EC_064_INC-W1,12/22/2022,22.81,23.04,9.01,0.23,14.03,155.7158713
EC_064_INC-W1,12/27/2022,22.48,23.03,9.01,0.55,14.02,155.6048835
EC_064_INC-W1,12/30/2022,22.68,23.03,9.01,0.35,14.02,155.6048835
EC_064_INC-W1,1/3/2023,22.51,23.03,9.01,0.52,14.02,155.6048835
EC_065_INC-W1,5/4/2023,20.05,22.06,14.9,2.01,7.16,48.05369128
EC_065_INC-W1,5/5/2023,21.94,22.06,14.9,0.12,7.16,48.05369128
EC_065_INC-W1,5/9/2023,21.71,22.06,14.9,0.35,7.16,48.05369128
EC_065_INC-W1,5/12/2023,21.71,22.05,14.9,0.34,7.15,47.98657718
EC_065_INC-W1,5/16/2023,21.7,22.05,14.9,0.35,7.15,47.98657718
EC_065_INC-W1,5/19/2023,21.84,22.06,14.9,0.22,7.16,48.05369128
EC_065_INC-W1,5/23/2023,21.62,22.05,14.9,0.43,7.15,47.98657718
EC_066_INC-W1,12/1/2022,20.02,26.04,15.81,6.02,10.23,64.70588235
EC_066_INC-W1,12/2/2022,25.93,26.04,15.81,0.11,10.23,64.70588235
EC_066_INC-W1,12/6/2022,25.57,26.04,15.81,0.47,10.23,64.70588235
EC_066_INC-W1,12/13/2022,24.97,26.04,15.81,1.07,10.23,64.70588235
EC_066_INC-W1,12/16/2022,25.64,26.04,15.81,0.4,10.23,64.70588235
EC_066_INC-W1,12/20/2022,25.42,26.04,15.81,0.62,10.23,64.70588235
EC_068_INC-W1,3/9/2023,20,23.94,8.31,3.94,15.63,188.0866426
EC_068_INC-W1,3/10/2023,23.61,23.94,8.31,0.33,15.63,188.0866426
EC_068_INC-W1,3/14/2023,22.66,23.94,8.31,1.28,15.63,188.0866426
EC_068_INC-W1,3/17/2023,23.02,23.94,8.31,0.92,15.63,188.0866426
EC_068_INC-W1,3/21/2023,22.79,23.94,8.31,1.15,15.63,188.0866426
EC_068_INC-W1,3/24/2023,23.17,23.92,8.31,0.75,15.61,187.8459687
EC_068_INC-W1,3/28/2023,22.9,23.94,8.31,1.04,15.63,188.0866426
EC_069_INC-W1,1/26/2023,20.07,24.12,15.93,4.05,8.19,51.41242938
EC_069_INC-W1,1/27/2023,23.89,24.12,15.93,0.23,8.19,51.41242938
EC_069_INC-W1,1/31/2023,23.56,24.12,15.93,0.56,8.19,51.41242938
EC_069_INC-W1,2/3/2023,23.76,24.12,15.93,0.36,8.19,51.41242938
EC_069_INC-W1,2/7/2023,23.61,24.12,15.93,0.51,8.19,51.41242938
EC_069_INC-W1,2/10/2023,23.72,24.11,15.93,0.39,8.18,51.34965474
EC_070_INC-W1,1/12/2023,19.92,23.43,14.63,3.51,8.8,60.15037594
EC_070_INC-W1,1/20/2023,22.27,23.43,14.63,1.16,8.8,60.15037594
EC_070_INC-W1,1/27/2023,22.48,23.43,14.63,0.95,8.8,60.15037594
EC_070_INC-W1,1/31/2023,22.82,23.43,14.63,0.61,8.8,60.15037594
EC_071_INC-W1,4/6/2023,20.04,22.03,10.56,1.99,11.47,108.6174242
EC_071_INC-W1,4/7/2023,21.67,22.03,10.56,0.36,11.47,108.6174242
EC_071_INC-W1,4/11/2023,20.76,22.03,10.56,1.27,11.47,108.6174242
EC_071_INC-W1,4/14/2023,20.88,22.03,10.56,1.15,11.47,108.6174242
EC_071_INC-W1,4/18/2023,20.45,22.01,10.56,1.56,11.45,108.4280303
EC_071_INC-W1,4/21/2023,20.99,22.03,10.56,1.04,11.47,108.6174242
EC_071_INC-W1,4/25/2023,21.14,22.03,10.56,0.89,11.47,108.6174242
EC_072_INC-W1,1/19/2023,19.93,22.83,9.94,2.9,12.89,129.6780684
EC_072_INC-W1,1/20/2023,22.55,22.83,9.94,0.28,12.89,129.6780684
EC_072_INC-W1,1/27/2023,20.94,22.82,9.94,1.88,12.88,129.5774648
EC_072_INC-W1,1/31/2023,21.77,22.83,9.94,1.06,12.89,129.6780684
EC_072_INC-W1,2/3/2023,22.09,22.83,9.94,0.74,12.89,129.6780684
EC_072_INC-W1,2/7/2023,21.36,22.83,9.94,1.47,12.89,129.6780684
EC_073_INC-W1,2/16/2023,20.01,23,10.88,2.99,12.12,111.3970588
EC_073_INC-W1,2/17/2023,22.87,23,10.88,0.13,12.12,111.3970588
EC_073_INC-W1,2/21/2023,22.51,23,10.88,0.49,12.12,111.3970588
EC_073_INC-W1,2/24/2023,22.64,23,10.88,0.36,12.12,111.3970588
EC_073_INC-W1,2/28/2023,22.5,23,10.88,0.5,12.12,111.3970588
EC_073_INC-W1,3/3/2023,22.71,23,10.88,0.29,12.12,111.3970588
EC_073_INC-W1,3/7/2023,22.44,23,10.88,0.56,12.12,111.3970588
EC_074_INC-W1,1/12/2023,20.05,23.52,16.77,3.47,6.75,40.25044723
EC_074_INC-W1,1/20/2023,22.87,23.52,16.77,0.65,6.75,40.25044723
EC_074_INC-W1,1/27/2023,22.83,23.52,16.77,0.69,6.75,40.25044723
EC_074_INC-W1,1/31/2023,22.98,23.52,16.77,0.54,6.75,40.25044723
EC_075_INC-W1,3/9/2023,20.03,23.03,14.72,3,8.31,56.45380435
EC_075_INC-W1,3/10/2023,22.77,23.03,14.72,0.26,8.31,56.45380435
EC_075_INC-W1,3/14/2023,22.48,23.03,14.72,0.55,8.31,56.45380435
EC_075_INC-W1,3/17/2023,22.64,23.03,14.72,0.39,8.31,56.45380435
EC_075_INC-W1,3/21/2023,22.4,23.03,14.72,0.63,8.31,56.45380435
EC_075_INC-W1,3/24/2023,22.52,23.03,14.72,0.51,8.31,56.45380435
EC_075_INC-W1,3/28/2023,22.4,23.03,14.72,0.63,8.31,56.45380435
EC_076_INC-W1,3/2/2023,19.8,24.89,15.36,5.09,9.53,62.04427083
EC_076_INC-W1,3/3/2023,24.72,24.89,15.36,0.17,9.53,62.04427083
EC_076_INC-W1,3/7/2023,24.4,24.89,15.36,0.49,9.53,62.04427083
EC_076_INC-W1,3/10/2023,24.57,24.88,15.36,0.31,9.52,61.97916667
EC_076_INC-W1,3/14/2023,24.32,24.89,15.36,0.57,9.53,62.04427083
EC_076_INC-W1,3/17/2023,24.48,24.89,15.36,0.41,9.53,62.04427083
EC_076_INC-W1,3/21/2023,24.34,24.89,15.36,0.55,9.53,62.04427083
EC_078_INC-W1,3/2/2023,19.89,22.84,11.97,2.95,10.87,90.81035923
EC_078_INC-W1,3/3/2023,22.49,22.84,11.97,0.35,10.87,90.81035923
EC_078_INC-W1,3/7/2023,22.29,22.84,11.97,0.55,10.87,90.81035923
EC_078_INC-W1,3/10/2023,22.51,22.83,11.97,0.32,10.86,90.72681704
EC_078_INC-W1,3/14/2023,22.15,22.84,11.97,0.69,10.87,90.81035923
EC_078_INC-W1,3/17/2023,22.44,22.84,11.97,0.4,10.87,90.81035923
EC_078_INC-W1,3/21/2023,22.08,22.84,11.97,0.76,10.87,90.81035923
EC_080_INC-W1,3/23/2023,19.96,20.94,4.28,0.98,16.66,389.2523364
EC_080_INC-W1,3/24/2023,20.8,20.94,4.28,0.14,16.66,389.2523364
EC_080_INC-W1,3/28/2023,20.37,20.93,4.28,0.56,16.65,389.0186916
EC_080_INC-W1,3/31/2023,20.63,20.94,4.28,0.31,16.66,389.2523364
EC_080_INC-W1,4/4/2023,20.38,20.94,4.28,0.56,16.66,389.2523364
EC_080_INC-W1,4/7/2023,20.61,20.94,4.28,0.33,16.66,389.2523364
EC_080_INC-W1,4/11/2023,20.32,20.94,4.28,0.62,16.66,389.2523364
EC_081_INC-W1,4/27/2023,19.97,22.91,14.86,2.94,8.05,54.17227456
EC_081_INC-W1,4/28/2023,22.78,22.91,14.86,0.13,8.05,54.17227456
EC_081_INC-W1,5/2/2023,22.54,22.91,14.86,0.37,8.05,54.17227456
EC_081_INC-W1,5/5/2023,22.67,22.91,14.86,0.24,8.05,54.17227456
EC_081_INC-W1,5/9/2023,22.53,22.92,14.86,0.39,8.06,54.23956931
EC_081_INC-W1,5/12/2023,22.53,22.9,14.86,0.37,8.04,54.10497981
EC_081_INC-W1,5/16/2023,22.54,22.9,14.86,0.36,8.04,54.10497981
EC_082_INC-W1,4/27/2023,20.04,22.98,15.2,2.94,7.78,51.18421053
EC_082_INC-W1,4/28/2023,22.86,22.98,15.2,0.12,7.78,51.18421053
EC_082_INC-W1,5/2/2023,22.66,22.98,15.2,0.32,7.78,51.18421053
EC_082_INC-W1,5/5/2023,22.72,22.98,15.2,0.26,7.78,51.18421053
EC_082_INC-W1,5/9/2023,22.61,22.99,15.2,0.38,7.79,51.25
EC_082_INC-W1,5/12/2023,22.62,22.98,15.2,0.36,7.78,51.18421053
EC_082_INC-W1,5/16/2023,22.56,22.98,15.2,0.42,7.78,51.18421053
EC_084_INC-W1,3/16/2023,19.93,21.94,14.15,2.01,7.79,55.05300353
EC_084_INC-W1,3/17/2023,21.8,22.64,14.15,0.84,8.49,60
EC_084_INC-W1,3/21/2023,22.24,22.64,14.15,0.4,8.49,60
EC_084_INC-W1,3/24/2023,22.31,22.63,14.15,0.32,8.48,59.92932862
EC_084_INC-W1,3/28/2023,22.05,22.64,14.15,0.59,8.49,60
EC_084_INC-W1,3/31/2023,22.33,22.64,14.15,0.31,8.49,60
EC_084_INC-W1,4/4/2023,22.03,22.64,14.15,0.61,8.49,60
EC_085_INC-W1,3/16/2023,20.02,23.07,14.95,3.05,8.12,54.31438127
EC_085_INC-W1,3/17/2023,22.87,23.07,14.95,0.2,8.12,54.31438127
EC_085_INC-W1,3/21/2023,22.61,23.07,14.95,0.46,8.12,54.31438127
EC_085_INC-W1,3/24/2023,22.57,23.06,14.95,0.49,8.11,54.24749164
EC_085_INC-W1,3/28/2023,22.49,23.07,14.95,0.58,8.12,54.31438127
EC_085_INC-W1,3/31/2023,22.72,23.06,14.95,0.34,8.11,54.24749164
EC_085_INC-W1,4/4/2023,22.47,23.07,14.95,0.6,8.12,54.31438127
EC_088_INC-W1,4/13/2023,19.91,22.94,13.68,3.03,9.26,67.69005848
EC_088_INC-W1,4/14/2023,22.55,22.95,13.68,0.4,9.27,67.76315789
EC_088_INC-W1,4/18/2023,22.07,22.94,13.68,0.87,9.26,67.69005848
EC_088_INC-W1,4/21/2023,22.49,22.94,13.68,0.45,9.26,67.69005848
EC_088_INC-W1,4/25/2023,21.39,22.95,13.68,1.56,9.27,67.76315789
EC_088_INC-W1,4/28/2023,21.88,22.92,13.68,1.04,9.24,67.54385965
EC_088_INC-W1,5/2/2023,21.21,22.95,13.68,1.74,9.27,67.76315789
EC_089_INC-W1,5/4/2023,19.98,23.03,15.48,3.05,7.55,48.77260982
EC_089_INC-W1,5/5/2023,22.95,23.03,15.48,0.08,7.55,48.77260982
EC_089_INC-W1,5/9/2023,22.71,23.03,15.48,0.32,7.55,48.77260982
EC_089_INC-W1,5/12/2023,22.7,23.03,15.48,0.33,7.55,48.77260982
EC_089_INC-W1,5/16/2023,22.68,23.03,15.48,0.35,7.55,48.77260982
EC_089_INC-W1,5/19/2023,22.82,23.03,15.48,0.21,7.55,48.77260982
EC_089_INC-W1,5/23/2023,22.63,23.03,15.48,0.4,7.55,48.77260982
EC_090_INC-W1,5/18/2023,20.01,23.02,16.96,3.01,6.06,35.73113208
EC_090_INC-W1,5/19/2023,22.94,23.02,16.96,0.08,6.06,35.73113208
EC_090_INC-W1,5/23/2023,22.67,23.01,16.96,0.34,6.05,35.67216981
EC_090_INC-W1,5/27/2023,22.54,23.01,16.96,0.47,6.05,35.67216981
EC_090_INC-W1,5/30/2023,22.6,23.01,16.96,0.41,6.05,35.67216981
EC_090_INC-W1,6/2/2023,22.58,23.02,16.96,0.44,6.06,35.73113208
EC_090_INC-W1,6/6/2023,22.43,23.01,16.96,0.58,6.05,35.67216981
EC_091_INC-W1,5/25/2023,20.07,23.04,15.15,2.97,7.89,52.07920792
EC_091_INC-W1,5/27/2023,22.73,23.05,15.15,0.32,7.9,52.14521452
