"site","Parent_ID","slope","elevation","AridityWs","Pct_shrub","precipitation","PctFst","PctAg","NPP_kgCm2","ET_kgm2year"
"MP-102322","EC_027",0.00031279,14.4124,0.801912696,1.66,1012.344971,2.76,62.19,4786016,6518454.882
"MP-102327","EC_072",0.0001839,571.8174,0.310081719,28.74,1015.594971,7.62,29.11,796454706.7,976702130.8
"MP-102338","EC_039",0.00010379,690.6079,0.264828433,68.1,1217.664917,5.86,14.49,975890170.8,1098603762
"MP-102398","EC_084",0.02421216,3396.5931,0.587534564,30.15,1186.088989,48.6,0,363769.8749,421973.9659
"MP-102600","EC_009",0.00022633,1478.4574,0.53069814,27.14,1154.438965,50.74,3.94,59942952.3,49972174.65
"MP-102602","EC_090",1e-05,1449.2332,0.632139385,27.25,1211.677979,59.54,2.73,34852699.09,27902032.88
"MP-102695","EC_005",0.00050459,674.456,1.871006391,6.83,248.0609894,65.54,12.41,63481864.79,50896402.44
"MP-103089","EC_037",0.00073105,86.2432,1.04503792,0.21,1259.551025,49.93,1.39,3465333.442,5291074.399
"MP-103149","EC_085",0.00206622,112.7278,0.790012066,0.41,1325.778931,21.67,2.45,5803074.092,10350159.02
"MP-103380","EC_089",0.10013104,2733.8605,0.489875258,35.86,1444.586914,26.75,0,191522.1221,102412.4276
"MP-103975","EC_069",0.00530822,2240.1103,0.34753161,10.56,1329.460938,61.22,0.09,7345892.021,13105917.34
"MP-104218","EC_088",0.01584928,135.5368,1.355215021,0.23,1203.43103,6.65,30.36,1945997.532,3209759.303
"SP-1","EC_013",0.00119534,271.2999,0.816752235,0.02,200.2279968,9.32,80.47,61431385.33,71651515.86
"SP-10","EC_021",0.00250861,1244.0746,0.194817558,67.06,249.3579865,7.84,0.33,108457342.5,147561680.7
"SP-13","EC_033",0.00251413,1228.7561,0.191895054,67.09,907.4619751,7.59,0.89,110273315.9,149547115
"SP-14","EC_034",0.00164006,NA,0.974833007,NA,917.5359497,NA,NA,26435553.51,14080133.23
"SP-15","EC_040",6.71e-05,686.4673,0.564373984,8.9,1274.452026,21.06,37.92,51374425889,62475985531
"SP-17","EC_071",0.00486058,364.482,0.593087191,0.02,1637.495972,8.37,82.46,439792.6708,628308.8257
"SP-18","EC_073",0.01105317,450.0672,1.278967738,0.67,1376.200928,88.39,6.36,5024557.888,3470126.227
"SP-19","EC_074",0.00297077,1817.0094,0.396894824,44.75,873.6449585,31.65,0.38,94810203.4,93832010.24
"SP-2","EC_018",0.00105731,1914.7882,0.246428638,40.18,1111.197998,9.48,7.12,740731510.3,827320202.2
"SP-22","EC_065",0.01596173,75.0459,0.956660137,1.54,356.3259888,71.98,7.12,39624.93446,94851.80852
"SP-5","EC_024",0.01636313,296.5384,0.871958952,0,914.605957,8.16,0.12,908602.4892,1829880.531
"SP-6","EC_035",1e-05,334.8251,0.788931187,1.43,270.2009888,43.1,19.29,473439435.3,502662250.2
"SP-8","EC_022",0.00054338,781.9303,1.268784067,5.68,373.5749817,74.39,9.16,326347160.5,260845503.6
"SP-9","EC_023",0.00225868,229.9866,1.731372332,4.7,557.3338623,56.77,23.79,27581101.76,18393990.15
