"site","Treatment","Median_Weighted_Avg_AI_mod","Median_Weighted_Avg_NOSC","Median_Weighted_Avg_DBE","Median_Weighted_Avg_delGcoxPerCmol","Median_Weighted_Avg_delGcoxPerCompmol","Median_Weighted_Avg_Lambda"
"EC_053","Dry",0.322583424526509,-0.256285631277427,12.6366312551038,-143.154071525108,-143.154071525108,0.0392763293584352
"EC_053","Wet",0.270686814604033,-0.114706665849444,12.3212934788789,-141.171012859172,-141.171012859172,0.0392441417524264
"EC_056","Dry",0.305961740447284,-0.332630819124756,12.8659560925938,-143.494257742194,-143.494257742194,0.038543945345413
"EC_056","Wet",0.329048475801567,-0.299554432584324,13.0402209632079,-142.980457431251,-142.980457431251,0.0359828616904596
"EC_057","Dry",0.296541578138351,-0.265866329505214,12.734457011262,-142.357549014462,-142.357549014462,0.0409676475008939
"EC_057","Wet",0.315442083144677,-0.235759711319785,11.1014818077784,-142.974094380496,-142.974094380496,0.040461510614567
"EC_065","Dry",0.271276832920603,-0.316059129377001,12.2906925586915,-143.147255351166,-143.147255351166,0.0368371189816839
"EC_065","Wet",0.247067498376001,-0.309302231709752,10.7967853335863,-143.310908762009,-143.310908762009,0.0402950243299218
"EC_066","Dry",0.310484954395074,-0.201246599091673,13.2599066629198,-141.858818588494,-141.858818588494,0.0421148859111306
"EC_066","Wet",0.320247594365947,-0.191971577007579,14.3099995941358,-141.889306794374,-141.889306794374,0.0358880727523847
"EC_068","Dry",0.263084615090902,-0.21929328479415,11.3964787842104,-142.23168220782,-142.23168220782,0.0427451425851604
"EC_068","Wet",0.334144715527048,-0.260665115476286,12.7883545634673,-142.624337479501,-142.624337479501,0.0402960336872237
"EC_070","Dry",0.323620080241492,-0.182267907389477,12.8940000615936,-142.078775518582,-142.078775518582,0.0416872879552077
"EC_070","Wet",0.305969175196034,-0.0722518542993247,12.527864893266,-140.894452929246,-140.894452929246,0.0422660135909876
"EC_072","Dry",0.317621303867299,-0.24919092498859,11.9299418067177,-142.113629609966,-142.113629609966,0.0430874467998234
"EC_072","Wet",0.343965242665556,-0.318073411174721,12.2869182021704,-142.976886810802,-142.976886810802,0.042205466425342
"EC_073","Dry",0.30156142367365,-0.221144107957262,12.2828224989462,-142.444399168856,-142.444399168856,0.0409727025202966
"EC_073","Wet",0.338630970046641,-0.192893409728921,13.2818812885425,-141.773070830281,-141.773070830281,0.0408962529124468
"EC_074","Dry",0.283924632117194,-0.23627441101311,11.9048726315778,-142.575412763739,-142.575412763739,0.0384861985801973
